alpha,cache_miss
0.0,1608
0.004,1481
0.008,1493
0.012,1461
0.016,1447
0.02,1437
0.024,1430
0.028,1427
0.032,1424
0.036,1423
0.04,1420
0.044,1419
0.048,1418
0.052,1417
0.056,1416
0.06,1415
0.064,1415
0.068,1414
0.072,1415
0.076,1414
0.08,1415
0.084,1413
0.088,1413
0.092,1413
0.096,1603
0.1,1414
0.104,1414
0.108,1413
0.112,1413
0.116,1412
0.12,1412
0.124,1412
0.128,1412
0.132,1412
0.136,1413
0.14,1413
0.144,1412
0.148,1412
0.152,1412
0.156,1412
0.16,1411
0.164,1411
0.168,1411
0.172,1411
0.176,1411
0.18,1410
0.184,1410
0.188,1410
0.192,1410
0.196,1410
0.2,1410
0.204,1410
0.208,1410
0.212,1410
0.216,1410
0.22,1410
0.224,1410
0.228,1410
0.232,1411
0.236,1410
0.24,1410
0.244,1410
0.248,1410
0.252,1410
0.256,1410
0.26,1410
0.264,1410
0.268,1410
0.272,1410
0.276,1410
0.28,1410
0.284,1410
0.288,1410
0.292,1410
0.296,1410
0.3,1410
0.304,1410
0.308,1410
0.312,1410
0.316,1410
0.32,1410
0.324,1410
0.328,1410
0.332,1410
0.336,1410
0.34,1410
0.344,1410
0.348,1410
0.352,1410
0.356,1410
0.36,1410
0.364,1410
0.368,1410
0.372,1410
0.376,1410
0.38,1410
0.384,1410
0.388,1410
0.392,1410
0.396,1410
0.4,1410
0.404,1410
0.408,1410
0.412,1410
0.416,1410
0.42,1410
0.424,1409
0.428,1409
0.432,1409
0.436,1409
0.44,1409
0.444,1409
0.448,1409
0.452,1409
0.456,1408
0.46,1408
0.464,1408
0.468,1408
0.472,1408
0.476,1408
0.48,1408
0.484,1408
0.488,1408
0.492,1408
0.496,1408
0.5,1408
0.504,1408
0.508,1408
0.512,1408
0.516,1408
0.52,1408
0.524,1408
0.528,1408
0.532,1408
0.536,1408
0.54,1408
0.544,1408
0.548,1408
0.552,1408
0.556,1408
0.56,1408
0.564,1408
0.568,1408
0.572,1408
0.576,1408
0.58,1408
0.584,1408
0.588,1408
0.592,1408
0.596,1408
0.6,1408
0.604,1408
0.608,1408
0.612,1408
0.616,1408
0.62,1408
0.624,1408
0.628,1408
0.632,1408
0.636,1408
0.64,1408
0.644,1408
0.648,1408
0.652,1408
0.656,1408
0.66,1408
0.664,1408
0.668,1408
0.672,1408
0.676,1408
0.68,1408
0.684,1408
0.688,1408
0.692,1408
0.696,1408
0.7,1408
0.704,1408
0.708,1408
0.712,1408
0.716,1408
0.72,1408
0.724,1408
0.728,1408
0.732,1408
0.736,1408
0.74,1408
0.744,1408
0.748,1408
0.752,1408
0.756,1408
0.76,1408
0.764,1408
0.768,1408
0.772,1408
0.776,1408
0.78,1408
0.784,1408
0.788,1408
0.792,1408
0.796,1408
