alpha,cache_miss
0.0,2006
0.004,1971
0.008,2000
0.012,2027
0.016,2198
0.02,2198
0.024,2198
0.028,2202
0.032,2203
0.036,2203
0.04,2202
0.044,2200
0.048,2199
0.052,1811
0.056,1811
0.06,1812
0.064,1812
0.068,2200
0.072,2204
0.076,2204
0.08,2204
0.084,2204
0.088,2204
0.092,2207
0.096,2207
0.1,2207
0.104,2207
0.108,2207
0.112,2207
0.116,2207
0.12,2207
0.124,2207
0.128,2207
0.132,2207
0.136,2207
0.14,2207
0.144,2207
0.148,2207
0.152,2207
0.156,2207
0.16,2207
0.164,2207
0.168,2207
0.172,2207
0.176,2207
0.18,2207
0.184,2207
0.188,2207
0.192,2207
0.196,2207
0.2,2207
0.204,2207
0.208,2207
0.212,2207
0.216,2207
0.22,2207
0.224,2207
0.228,2207
0.232,2205
0.236,2205
0.24,2205
0.244,2205
0.248,2205
0.252,2205
0.256,2203
0.26,2203
0.264,2203
0.268,2203
0.272,2203
0.276,2203
0.28,2203
0.284,2202
0.288,2201
0.292,2201
0.296,2201
0.3,2201
0.304,2201
0.308,2201
0.312,2201
0.316,2201
0.32,2201
0.324,2201
0.328,2201
0.332,2201
0.336,2201
0.34,2201
0.344,1809
0.348,1809
0.352,1809
0.356,1809
0.36,1809
0.364,1809
0.368,1809
0.372,1809
0.376,1809
0.38,1808
0.384,1808
0.388,1808
0.392,1808
0.396,1808
0.4,1808
0.404,1808
0.408,1808
0.412,1808
0.416,1808
0.42,1808
0.424,1808
0.428,1808
0.432,1808
0.436,1808
0.44,1808
0.444,1808
0.448,1808
0.452,1808
0.456,1808
0.46,1808
0.464,1808
0.468,1808
0.472,1808
0.476,1808
0.48,1808
0.484,1808
0.488,1808
0.492,1808
0.496,1808
0.5,1808
0.504,1808
0.508,1808
0.512,1808
0.516,1808
0.52,1808
0.524,1808
0.528,1808
0.532,1808
0.536,1808
0.54,1808
0.544,1807
0.548,1807
0.552,1807
0.556,1807
0.56,1807
0.564,1807
0.568,1807
0.572,1807
0.576,1807
0.58,1807
0.584,1807
0.588,1807
0.592,1807
0.596,1807
0.6,1807
0.604,1807
0.608,1807
0.612,1807
0.616,1807
0.62,1807
0.624,1807
0.628,1807
0.632,1807
0.636,1807
0.64,1807
0.644,1807
0.648,1807
0.652,1807
0.656,1807
0.66,1807
0.664,1807
0.668,1807
0.672,1807
0.676,1807
0.68,1807
0.684,1807
0.688,1807
0.692,1807
0.696,1807
0.7,1807
0.704,1807
0.708,1806
0.712,1806
0.716,1806
0.72,1806
0.724,1806
0.728,1806
0.732,1806
0.736,1806
0.74,1806
0.744,1806
0.748,1806
0.752,1806
0.756,1806
0.76,1806
0.764,1806
0.768,1806
0.772,1806
0.776,1806
0.78,1806
0.784,1806
0.788,1806
0.792,1806
0.796,1806
